UID,Country,Programs_Applied_To,Count_of_Programs,Status,Applicant
26000031,Ирак /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Международные отношения / International Relations (in Russian); Менеджмент (на английском языке) / Management (in English),3,Accepted with budget,Bachelor
26000032,Казахстан /,Юриспруденция / Law (in Russian); Социология / Sociology (in Russian),2,Accepted with budget,Bachelor
26000033,Казахстан /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Социология / Sociology (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),3,Accepted with budget,Bachelor
26000034,Узбекистан /,Юриспруденция / Law (in Russian); Международные отношения / International Relations (in Russian),2,Accepted with budget,Bachelor
26000035,Пакистан /,Медицина (на английском языке) / Medicine (in English); Стоматология (на английском языке) / Dental Medicine (in English); Медицина / Medicine (in Russian),3,Accepted with budget,Specialist
26000036,ТУРКМЕНИСТАН /,Стоматология / Dental Medicine (in Russian); Медицина / Medicine (in Russian),2,Accepted with budget,Specialist
26000037,Индия /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000038,Казахстан /,Стоматология / Dental Medicine (in Russian); Медицина / Medicine (in Russian),2,Accepted with budget,Specialist
26000039,Индия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,PhD
26000040,Казахстан /,Медицина / Medicine (in Russian); Стоматология / Dental Medicine (in Russian),2,Accepted with budget,Specialist
26000041,Беларусь /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),1,Accepted with budget,Bachelor
26000042,Афганистан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),1,Accepted with budget,Bachelor
26000043,Казахстан /,Юриспруденция / Law (in Russian); Социология / Sociology (in Russian); Международные отношения / International Relations (in Russian),3,Accepted with budget,Bachelor
26000044,Казахстан /,Английский язык / English; Философия / Philosophy (in Russian),2,Accepted with budget,Bachelor
26000045,Нигерия /,Компьютерные науки и информационные технологии / Computer Science and Information Technology (in Russian),1,Accepted with budget,PhD
26000046,Узбекистан /,Физические науки / Physical Sciences (in Russian),1,Accepted with budget,PhD
26000047,Нигер /,Медицина / Medicine (in Russian),1,Accepted with budget,PhD
26000048,Пакистан /,Графический дизайн / Graphic Design (in Russian),1,Accepted with budget,Master
26000049,Гаити /,Экономика / Economics (in Russian); Менеджмент (на английском языке) / Management (in English); Политология / Political Science (in Russian),3,Accepted with budget,Master
26000050,КОНГО /,Науки о Земле и окружающей среде / Earth and Environmental Sciences (in Russian),1,Accepted with budget,Master
26000051,Казахстан /,Международные отношения / International Relations (in Russian); Политология / Political Science (in Russian),2,Accepted with budget,Bachelor
26000052,Йемен /,Медицина / Medicine (in Russian),1,Accepted with budget,PhD
26000053,Казахстан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Менеджмент (на английском языке) / Management (in English),2,Accepted with budget,Bachelor
26000054,Казахстан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Психология / Psychology (in Russian),2,Accepted with budget,Bachelor
26000055,Болгария /,Международные отношения / International Relations (in Russian); Политология / Political Science (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),3,Accepted with budget,Bachelor
26000056,Узбекистан /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000057,Бангладеш /,Стоматология (на английском языке) / Dental Medicine (in English),1,Accepted with budget,Specialist
26000057,Бангладеш /,Социология / Sociology (in Russian),1,Accepted with budget,Bachelor
26000058,Египет /,Биологические науки / Biological sciences (in Russian); Менеджмент / Management (in Russian),2,Accepted with budget,PhD
26000059,Индонезия /,Международные отношения (на английском языке) / International Relations (in English); Международные отношения / International Relations (in Russian); Деловая коммуникация на английском языке / Business Communication in English,3,Accepted with budget,Master
26000060,Нигерия /,Биология / Biology (in Russian); Химия / Chemistry (in Russian),2,Accepted with budget,Master
26000061,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Стоматология (на английском языке) / Dental Medicine (in English); Стоматология / Dental Medicine (in Russian); Медицина (на английском языке) / Medicine (in English),3,Accepted with budget,Specialist
26000062,"ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА /",Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,PhD
26000063,Индия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000064,Египет /,Экономика (на английском языке) / Economics (in English),1,Accepted with budget,Master
26000065,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,PhD
26000066,Мавритания /,Языкознание и литературоведение (на испанском языке) / Linguistics and Literary Studies (in Spanish); Иностранные языки / Foreign Languages (in Russian),2,Accepted with budget,Master
26000067,Бангладеш /,Международные отношения (на английском языке) / International Relations (in English); Языкознание и литературоведение (на английском языке) / Foreign Languages (in English),2,Accepted with budget,Master
26000068,Нигерия /,Физика (на английском языке) / Physics (in English); Биология / Biology (in Russian); Химия / Chemistry (in Russian),3,Accepted with budget,Master
26000069,Бангладеш /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Международные отношения / International Relations (in Russian),2,Accepted with budget,Bachelor
26000070,"МОЛДОВА, РЕСПУБЛИКА /",Экономика / Economics (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Юриспруденция / Law (in Russian),3,Accepted with budget,Bachelor
26000071,Казахстан /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000072,Азербайджан /,Математика и механика / Mathematics and Mechanics (in Russian); Физика / Physics (in Russian); Нефтегазовое дело / Petroleum Engineering (in Russian),3,Accepted with budget,Bachelor
26000073,ТУРКМЕНИСТАН /,Нефтегазовое дело / Petroleum Engineering (in Russian); Химия / Chemistry (in Russian); Психология / Psychology (in Russian),3,Accepted with budget,Bachelor
26000074,Казахстан /,Графический дизайн / Graphic Design (in Russian),1,Accepted with budget,Bachelor
26000075,Казахстан /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Искусства и гуманитарные науки / Arts and Humanities (in Russian); Юриспруденция / Law (in Russian),3,Accepted with budget,Bachelor
26000076,Бангладеш /,Международные отношения (на английском языке) / International Relations (in English); Деловая коммуникация на английском языке / Business Communication in English; Прикладная математика и процессы управления (на английском языке) / Applied Mathematics and Control Processes (in English),3,Accepted with budget,Master
26000077,Сенегал /,Нефтегазовая геология / Petroleum Geology (in Russian),1,Accepted with budget,Master
26000078,Российская Федерация /,Физическая культура / Physical Education (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian),3,Accepted with budget,Bachelor
26000079,КИТАЙ /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian),1,Accepted with budget,Bachelor
26000080,Турция /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000081,Беларусь /,Медицина / Medicine (in Russian); Стоматология / Dental Medicine (in Russian),2,Accepted with budget,Specialist
26000082,Узбекистан /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Педагогика / Pedagogy (in Russian); Языкознание и литературоведение (на английском языке) / Foreign Languages (in English),3,Accepted with budget,Master
26000083,Бангладеш /,Прикладная математика и процессы управления (на английском языке) / Applied Mathematics and Control Processes (in English); Современная математика (на английском языке) / Modern Mathematics (in English); Экономика (на английском языке) / Economics (in English),3,Accepted with budget,Master
26000084,Бангладеш /,Современная математика (на английском языке) / Modern Mathematics (in English); Прикладная математика и процессы управления (на английском языке) / Applied Mathematics and Control Processes (in English); Экономика (на английском языке) / Economics (in English),3,Accepted with budget,Master
26000085,Индия /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000085,Индия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000086,Индонезия /,Культурология (на английском языке) / Cultural Studies (in English); Социология (на английском языке) / Sociology (in English),2,Accepted with budget,Master
26000087,КОНГО /,Международные отношения / International Relations (in Russian); Политология / Political Science (in Russian),2,Accepted with budget,Master
26000088,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000089,Казахстан /,Прикладная математика и процессы управления / Applied Mathematics and Control Processes (in Russian); Нефтегазовое дело / Petroleum Engineering (in Russian); Международные отношения / International Relations (in Russian),3,Accepted with budget,Bachelor
26000091,Афганистан /,Науки о Земле и окружающей среде / Earth and Environmental Sciences (in Russian),1,Accepted with budget,Master
26000092,Ливан /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000093,Индия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,PhD
26000094,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Стоматология / Dental Medicine (in Russian); Стоматология (на английском языке) / Dental Medicine (in English); Медицина / Medicine (in Russian),3,Accepted with budget,Specialist
26000095,Узбекистан /,Юриспруденция / Law (in Russian),1,Accepted with budget,Master
26000096,СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА /,Стоматология / Dental Medicine (in Russian),1,Accepted with budget,PhD
26000097,Казахстан /,Английский язык / English,1,Accepted with budget,Bachelor
26000098,КИТАЙ /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Педагогика / Pedagogy (in Russian); Международные отношения / International Relations (in Russian),3,Accepted with budget,PhD
26000099,Индонезия /,Международные отношения / International Relations (in Russian),1,Accepted with budget,PhD
26000100,Иордания /,Медицина / Medicine (in Russian),1,Accepted with budget,PhD
26000101,КИТАЙ /,Медиакоммуникации и журналистика / Mediacommunications and Journalism (in Russian),1,Accepted with budget,PhD
26000102,Беларусь /,Химия / Chemistry (in Russian),1,Accepted with budget,Bachelor
26000103,Казахстан /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Востоковедение и африканистика / Asian and African Studies (in Russian),2,Accepted with budget,Bachelor
26000104,Гватемала /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),1,Accepted with budget,Bachelor
26000105,Узбекистан /,Биология / Biology (in Russian); Химия / Chemistry (in Russian),2,Accepted with budget,Bachelor
26000105,Узбекистан /,Стоматология / Dental Medicine (in Russian),1,Accepted with budget,Specialist
26000106,Марокко /,Физика / Physics (in Russian); Дизайн среды / Environmental Design (in Russian); Английский язык / English,3,Accepted with budget,Bachelor
26000107,Казахстан /,Графический дизайн / Graphic Design (in Russian),1,Accepted with budget,Bachelor
26000108,Казахстан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Менеджмент (на английском языке) / Management (in English),2,Accepted with budget,Bachelor
26000109,ТУРКМЕНИСТАН /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Науки о Земле / Earth Sciences (in Russian),2,Accepted with budget,Bachelor
26000110,Египет /,Нефтегазовое дело / Petroleum Engineering (in Russian),1,Accepted with budget,Bachelor
26000111,Йемен /,Медицина (на английском языке) / Medicine (in English); Медицина / Medicine (in Russian); Стоматология (на английском языке) / Dental Medicine (in English),3,Accepted with budget,Specialist
26000112,Бангладеш /,Математика и механика (на английском языке) / Mathematics and Mechanics (in English),1,Accepted with budget,PhD
26000113,Казахстан /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Прикладная математика и процессы управления / Applied Mathematics and Control Processes (in Russian); Математика и механика / Mathematics and Mechanics (in Russian),3,Accepted with budget,Bachelor
26000114,ТУРКМЕНИСТАН /,Химия / Chemistry (in Russian); Биология / Biology (in Russian),2,Accepted with budget,Bachelor
26000115,ТУРКМЕНИСТАН /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),1,Accepted with budget,Bachelor
26000116,Нигерия /,Международные отношения (на английском языке) / International Relations (in English),1,Accepted with budget,Master
26000117,Казахстан /,Юриспруденция / Law (in Russian); История / History (in Russian),2,Accepted with budget,Bachelor
26000118,Узбекистан /,Педагогика / Pedagogy (in Russian),1,Accepted with budget,PhD
26000119,Казахстан /,Биология / Biology (in Russian),1,Accepted with budget,Bachelor
26000120,Казахстан /,Биология / Biology (in Russian),1,Accepted with budget,Bachelor
26000120,Казахстан /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000121,КИРГИЗИЯ /,Нефтегазовое дело / Petroleum Engineering (in Russian); Менеджмент (на английском языке) / Management (in English); Экономика / Economics (in Russian),3,Accepted with budget,Bachelor
26000122,КИТАЙ /,Биологические науки / Biological sciences (in Russian),1,Accepted with budget,PhD
26000123,Казахстан /,Психология / Psychology (in Russian),1,Accepted with budget,Bachelor
26000124,КИТАЙ /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian),1,Accepted with budget,Bachelor
26000124,КИТАЙ /,Медицина / Medicine (in Russian),1,Accepted with budget,Specialist
26000125,Украина /,Стоматология / Dental Medicine (in Russian); Медицина / Medicine (in Russian),2,Accepted with budget,Specialist
26000125,Украина /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),1,Accepted with budget,Bachelor
26000126,ТУРКМЕНИСТАН /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Востоковедение и африканистика / Asian and African Studies (in Russian),2,Accepted with budget,Bachelor
26000127,Беларусь /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),1,Accepted with budget,Bachelor
26000128,Казахстан /,Прикладная математика и процессы управления / Applied Mathematics and Control Processes (in Russian),1,Accepted with budget,Bachelor
26000129,Египет /,Международные отношения (на английском языке) / International Relations (in English); Политология / Political Science (in Russian); Иностранные языки / Foreign Languages (in Russian),3,Accepted with budget,Master
26000130,Пакистан /,Политология / Political Science (in Russian); Физическая культура / Physical Education (in Russian); История / History (in Russian),3,Accepted with budget,Bachelor
26000131,Пакистан /,Менеджмент (на английском языке) / Management (in English); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Деловая коммуникация на английском языке / Business Communication in English,3,Accepted with budget,Master
26000132,Пакистан /,Политология / Political Science (in Russian); Международные отношения / International Relations (in Russian); Физическая культура / Physical Education (in Russian),3,Accepted with budget,Bachelor
26000133,Камерун /,Экономика / Economics (in Russian),1,Accepted with budget,Master
26000134,КИРГИЗИЯ /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Физика / Physics (in Russian),2,Accepted with budget,Bachelor
26000135,КИРГИЗИЯ /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian),1,Accepted with budget,Bachelor
26000136,Узбекистан /,Экономика / Economics (in Russian); Английский язык / English,2,Accepted with budget,Bachelor
26000138,Узбекистан /,Нефтегазовое дело / Petroleum Engineering (in Russian),1,Accepted with budget,Bachelor
26000139,Узбекистан /,Экономика / Economics (in Russian); Английский язык / English,2,Accepted with budget,Bachelor
26000140,Российская Федерация /,Экономика / Economics (in Russian),1,Accepted with budget,Master
26000141,Узбекистан /,Математика и механика / Mathematics and Mechanics (in Russian); Физика / Physics (in Russian),2,Accepted with budget,Bachelor
26000142,Казахстан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),1,Accepted with budget,Bachelor
26000143,Узбекистан /,Психология / Psychology (in Russian),1,Accepted with budget,Bachelor
26000144,Беларусь /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian),1,Accepted with budget,Bachelor
26000145,Ирак /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000146,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Стоматология / Dental Medicine (in Russian); Стоматология (на английском языке) / Dental Medicine (in English); Медицина / Medicine (in Russian),3,Accepted with budget,Specialist
26000147,Ирак /,Медицина / Medicine (in Russian); Медицина (на английском языке) / Medicine (in English),2,Accepted with budget,Specialist
26000148,Казахстан /,Медицина / Medicine (in Russian),1,Accepted with budget,Specialist
26000149,"МОЛДОВА, РЕСПУБЛИКА /",Биология / Biology (in Russian),1,Accepted with budget,Bachelor
26000150,"ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА /",Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000151,Азербайджан /,Юриспруденция / Law (in Russian),1,Accepted with budget,Bachelor
26000152,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000153,"КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА /",Математика и механика / Mathematics and Mechanics (in Russian),1,Accepted with budget,Bachelor
26000154,Казахстан /,Менеджмент (на английском языке) / Management (in English); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Психология / Psychology (in Russian),3,Accepted with budget,Master
26000155,Казахстан /,Стоматология / Dental Medicine (in Russian),1,Accepted with budget,Specialist
26000156,КИТАЙ /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000157,ТУРКМЕНИСТАН /,Юриспруденция / Law (in Russian),1,Accepted with budget,Bachelor
26000159,ТУРКМЕНИСТАН /,Международные отношения / International Relations (in Russian),1,Accepted with budget,Bachelor
26000160,КИРГИЗИЯ /,Биология / Biology (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Нефтегазовое дело / Petroleum Engineering (in Russian),3,Accepted with budget,Bachelor
26000161,ТУРКМЕНИСТАН /,Языкознание и литературоведение / Linguistics and Literary Studies (in Russian); Английский язык / English; Нефтегазовое дело / Petroleum Engineering (in Russian),3,Accepted with budget,Bachelor
26000162,Узбекистан /,Экономика / Economics (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),2,Accepted with budget,Bachelor
26000163,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Медицина (на английском языке) / Medicine (in English); Стоматология (на английском языке) / Dental Medicine (in English),2,Accepted with budget,Specialist
26000164,Бангладеш /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000164,Бангладеш /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000165,Казахстан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),1,Accepted with budget,Bachelor
26000166,Казахстан /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Менеджмент (на английском языке) / Management (in English),3,Accepted with budget,Bachelor
26000167,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Стоматология (на английском языке) / Dental Medicine (in English),1,Accepted with budget,Specialist
26000168,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000169,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Языкознание и литературоведение (на английском языке) / Foreign Languages (in English),1,Accepted with budget,Master
26000170,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Математика и механика (на английском языке) / Mathematics and Mechanics (in English),1,Accepted with budget,Master
26000171,КИРГИЗИЯ /,Экономика (на английском языке) / Economics (in English); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Экономика / Economics (in Russian),3,Accepted with budget,Master
26000172,Нигерия /,Деловая коммуникация на английском языке / Business Communication in English; Менеджмент (на английском языке) / Management (in English),2,Accepted with budget,Master
26000173,Бангладеш /,Менеджмент (на английском языке) / Management (in English); Английский язык / English; Математика и компьютерные науки / Mathematics and Computer Science (in Russian),3,Accepted with budget,Bachelor
26000174,Эфиопия /,Прикладная математика и процессы управления (на английском языке) / Applied Mathematics and Control Processes (in English); Менеджмент (на английском языке) / Management (in English); Физика (на английском языке) / Physics (in English),3,Accepted with budget,Master
26000175,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Стоматология (на английском языке) / Dental Medicine (in English),1,Accepted with budget,Specialist
26000176,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Стоматология (на английском языке) / Dental Medicine (in English),1,Accepted with budget,Specialist
26000177,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Стоматология (на английском языке) / Dental Medicine (in English),1,Accepted with budget,Specialist
26000178,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Стоматология (на английском языке) / Dental Medicine (in English),1,Accepted with budget,Specialist
26000179,Ирак /,Медицина / Medicine (in Russian); Медицина (на английском языке) / Medicine (in English),2,Accepted with budget,Specialist
26000180,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Стоматология / Dental Medicine (in Russian); Медицина / Medicine (in Russian); Стоматология (на английском языке) / Dental Medicine (in English),3,Accepted with budget,Specialist
26000182,Пакистан /,Медицина / Medicine (in Russian),1,Accepted with budget,PhD
26000183,Зимбабве /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian),1,Accepted with budget,Bachelor
26000184,Афганистан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Международные отношения (на английском языке) / International Relations (in English); Науки о Земле и окружающей среде / Earth and Environmental Sciences (in Russian),3,Accepted with budget,Master
26000185,Ирак /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000186,КИТАЙ /,Международные отношения / International Relations (in Russian); Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Языкознание и литературоведение / Linguistics and Literary Studies (in Russian),3,Accepted with budget,Master
26000187,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА /",Стоматология (на английском языке) / Dental Medicine (in English),1,Accepted with budget,Specialist
26000188,Казахстан /,Юриспруденция / Law (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Экономика / Economics (in Russian),3,Accepted with budget,Bachelor
26000189,Турция /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000190,Беларусь /,Стоматология / Dental Medicine (in Russian),1,Accepted with budget,Specialist
26000192,Российская Федерация /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000192,Российская Федерация /,Экономика (на английском языке) / Economics (in English); Языкознание и литературоведение (на испанском языке) / Linguistics and Literary Studies (in Spanish); Языкознание и литературоведение (на немецком языке) / Linguistics and Literary Studies (in German),3,Accepted with budget,Master
26000195,КИТАЙ /,Медицина / Medicine (in Russian),1,Accepted with budget,Specialist
26000195,КИТАЙ /,Экономика / Economics (in Russian),1,Accepted with budget,Bachelor
26000196,Азербайджан /,Менеджмент (на английском языке) / Management (in English); Юриспруденция (на английском языке) / Law (in English); Международные отношения (на английском языке) / International Relations (in English),3,Accepted with budget,Master
26000197,Казахстан /,Химия / Chemistry (in Russian); Биология / Biology (in Russian),2,Accepted with budget,Bachelor
26000199,Казахстан /,Экономика / Economics (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),2,Accepted with budget,Bachelor
26000200,КОТ Д`ИВУАР /,Математика и компьютерные науки / Mathematics and Computer Science (in Russian); Экономика / Economics (in Russian); Прикладная математика и процессы управления / Applied Mathematics and Control Processes (in Russian),3,Accepted with budget,Bachelor
26000201,КИРГИЗИЯ /,Искусства и гуманитарные науки / Arts and Humanities (in Russian); Психология / Psychology (in Russian); Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian),3,Accepted with budget,Bachelor
26000203,Ирак /,Нефтегазовое дело / Petroleum Engineering (in Russian); Науки о Земле / Earth Sciences (in Russian); Языкознание и литературоведение / Linguistics and Literary Studies (in Russian),3,Accepted with budget,Bachelor
26000204,Казахстан /,Юриспруденция / Law (in Russian); Экономика / Economics (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),3,Accepted with budget,Master
26000205,Франция /,Экономика (на английском языке) / Economics (in English); Деловая коммуникация на английском языке / Business Communication in English; Менеджмент (на английском языке) / Management (in English),3,Accepted with budget,Master
26000206,Казахстан /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Искусства и гуманитарные науки / Arts and Humanities (in Russian); Международные отношения / International Relations (in Russian),3,Accepted with budget,Bachelor
26000207,Беларусь /,Психология / Psychology (in Russian),1,Accepted with budget,Bachelor
26000208,Казахстан /,Прикладная математика и процессы управления / Applied Mathematics and Control Processes (in Russian); Математика и компьютерные науки / Mathematics and Computer Science (in Russian),2,Accepted with budget,Bachelor
26000209,Чили /,Менеджмент (на английском языке) / Management (in English); Международные отношения / International Relations (in Russian); Международные отношения (на английском языке) / International Relations (in English),3,Accepted with budget,Master
